smiles,RF_homo,RF_lumo,RF_gap,norm_homo,norm_lumo,norm_gap,score,rank,has_B,has_P,MW
O=P(O)(O)OP(=O)(O)O.O=[PH](Cl)Cl,-7.692979999999973,0.8512399999999953,8.312160000000004,0.5006839348078769,0.7478857449245652,0.7741605530473796,0.6842351251386845,84,0,1,296.86
C[PH](C)=O.C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,-8.208120000000001,0.1802000000000002,8.352339999999982,0.875494761350395,0.33902415247008333,0.7977802859292318,0.6834677885178362,85,0,1,300.516
CC1(C)OC(=O)O1.CP(=O)(O)O,-7.576419999999972,0.7331999999999974,8.508299999999991,0.41587601862626844,0.6759645146352732,0.8894610609480438,0.68333658435768,86,0,1,198.111
CC1(C)OC(=O)O1.CP(=O)(O)O,-7.576419999999972,0.7331999999999974,8.508299999999991,0.41587601862626844,0.6759645146352732,0.8894610609480438,0.68333658435768,87,0,1,198.111
COS(=O)(=O)OC.O=[PH](F)F,-7.7281999999999895,0.5953199999999995,8.471720000000015,0.526309662398111,0.5919548633959677,0.8679575808878637,0.682662390093369,88,0,1,212.10999999999996
CN(C)P(=N)(N(C)C)N(C)C.O=P(O)(O)O,-7.594479999999983,0.8679999999999949,8.379400000000011,0.42901629802092156,0.7580975360093545,0.813687452972137,0.6816091313979376,89,0,1,276.214
B1OCCO1.CC(C#N)C#N,-7.903419999999989,0.4200999999999989,8.439919999999994,0.6537980209545733,0.48519412151787544,0.8492640142964296,0.6814032484603065,90,1,0,151.962
CC1(C)OC(=O)O1.O=[PH](O)O,-7.638199999999982,0.6962399999999979,8.468279999999991,0.4608265424912359,0.6534449562525871,0.865935383747142,0.6806556031220037,91,0,1,184.084
CC1(C)OC(=O)O1.O=[PH](O)O,-7.638199999999982,0.6962399999999979,8.468279999999991,0.4608265424912359,0.6534449562525871,0.865935383747142,0.6806556031220037,92,0,1,184.084
COS(=O)(=O)OC.CP(=O)(O)O,-7.523579999999973,0.9436599999999953,8.381900000000012,0.37743015133872504,0.8041968267894964,0.8151570729871871,0.6805509226333413,93,0,1,222.15499999999997
CN(C)P(=N)(N(C)C)N(C)C,-7.921099999999985,0.4830399999999974,8.370720000000023,0.6666618160651643,0.5235431746728061,0.8085849322798948,0.6804954701333491,94,0,1,178.22
B1OCCO1.BB(BOP(=O)(O)O)OP(=O)(O)O,-7.734859999999978,0.6296999999999977,8.42828,0.5311554132712111,0.6129024396188225,0.8424214635063665,0.6801859412695567,95,1,1,301.304
O=P(O)(O)O.O=[PH](O)O,-7.620079999999967,0.9915999999999947,8.252040000000012,0.4476426076833082,0.8334064487826232,0.7388191309254886,0.6798423693099749,96,0,1,179.989
