smiles,RF_homo,XGB_homo,RF_lumo,XGB_lumo,RF_gap,XGB_gap,score,rank
C[P+](C)C.c1cscn1,-7.670502666666655,-7.2365065,0.40798666666666644,0.10925073,8.070987666666658,7.7621555,1.0081628803510752,739
C1CCCCCC1.O=[PH](F)F,-7.547894261904756,-7.045851,0.21876566666666658,0.23762059,7.713136666666656,7.930508,1.008125075621868,740
O=[PH](Cl)Cl.O=c1occo1,-7.664234999999984,-7.1210055,0.06881799999999995,0.13346472,7.8651396666666695,8.112598,1.0081039454761855,741
C1CCSC1.F[B-](F)F,-7.757492666666641,-7.106941,0.20043066666666656,0.22125046,7.82586499999999,8.046482,1.0080565026974222,742
COB(OC)c1cncs1,-7.82813266666666,-7.678878,0.1338139999999999,0.4050218,7.94114599999997,8.32414,1.0078309124340006,743
O=P(Cl)(Cl)c1cccs1,-7.577649999999994,-6.9562364,0.2959733333333335,0.29660338,8.005050666666655,7.4898934,1.0077923734961813,744
BBr.FC(F)(F)C(F)(F)F,-7.901435428571413,-7.599195,0.3611553333333332,0.53740114,8.088979999999987,7.900215,1.0075279359334401,745
COB(OC)B1OCCCCCO1,-7.779565000000008,-7.7162704,0.02421133333333341,0.53262943,7.78593799999998,8.455718,1.0074820056207612,746
Bc1ccccc1.CCOC(C)=O,-7.778437666666664,-8.24084,0.07340666666666666,0.17307134,8.06166833333332,8.805328,1.0074793977251186,747
BBr.COS(=O)(=O)OC,-7.974106666666648,-8.192942,0.3740899999999999,0.26759523,8.433041000000008,8.247756,1.0073549357492495,748
COC(=O)OCP(=O)(OC)OC,-7.596627666666653,-7.3645883,0.2381980000000005,0.2827462,7.755108333333323,8.110383,1.0070575136885327,749
CP(C)C.c1cnccn1,-7.6300859999999915,-7.3546915,0.35294333333333305,0.2712769,8.014272333333318,7.787752,1.0063213048344282,750
C1CCSC1.CP(C)C,-7.650839999999976,-7.1984453,0.3293606666666667,0.14408395,7.894943333333314,7.9163823,1.005889023243682,751
CCOC(C)=O.COBOC,-7.8281139999999905,-7.821789,0.13728600000000027,0.011918361,7.770632999999976,8.884257,1.0058732993364092,752
O=P(O)(O)C1CCCCCC1,-7.459807333333327,-7.4718437,0.5527739999999989,0.46758485,7.925562000000008,7.537215,1.005861615908053,753
CCOBOCC.COCCOC,-7.965187333333333,-7.9987864,0.18283966666666718,0.14382613,7.99467299999997,8.760869,1.0055122068798013,754
OB(O)c1cccnc1,-7.871681333333312,-8.0453005,0.33089142857142856,0.38335812,7.994726190476174,8.434508,1.0054370626970388,755
CCCOC(C)=O.COBOC,-7.779463999999995,-8.060793,0.16737266666666717,0.26066473,7.752459666666647,8.833856,1.0054301303703594,756
COB(COC(=O)OC)OC,-7.944475999999987,-8.11299,0.2293310000000006,0.42650804,7.954734999999975,8.622843,1.0052714567246408,757
Bc1ccccc1,-7.859135142857127,-7.9662337,0.31948571428571426,-0.103757344,8.188442999999989,8.5450945,1.0052614225491698,758
O=C1OCC(F)(F)O1.OB(O)OB(O)O,-7.788157666666658,-7.761795,0.36849933333333323,0.023216106,8.142183333333326,8.252567,1.0052145342264578,759
CCOB(OCC)C(COC)OC,-7.818510999999999,-7.6176453,0.1035406666666666,0.37220693,7.890729666666647,8.354188,1.0049222258130355,760
C1CCCC1.O=[PH](Cl)Cl,-7.496218333333315,-7.1492867,0.25437999999999994,0.25098926,7.774406666666647,7.854748,1.0048105144732782,761
CC1(C)OC(=O)O1.C[P+](C)C,-7.952259999999988,-8.093388,0.14378100000000008,0.7977591,8.221531666666655,8.129185,1.0045271547038395,762
C1CCCC1.OBO,-7.751237999999983,-7.206606,0.09192999999999998,0.08019861,7.861028333333318,8.250712,1.0044908501721306,763
O=C1NCCC1B(O)O,-7.565829999999991,-7.3629084,0.22645638095238135,-0.08174222,7.559401999999986,8.551006,1.0044780331252117,764
COC(=O)OCB(O)O,-7.967560999999979,-8.0723095,0.34538738095238075,0.033882696,8.251967333333326,8.515673,1.004437940877137,765
CP(C)C.c1cscn1,-7.602842666666654,-7.2365065,0.3701766666666666,0.10925073,8.031557666666657,7.7597666,1.0042765895185553,766
O=C1CCCN1.O=P(O)(O)OP(=O)(O)O,-7.600016666666649,-7.7693896,0.39299933333333226,0.01648241,7.976689333333328,8.262872,1.0039235320752442,767
O=[PH](Cl)Cl.c1ccc2ncccc2c1,-7.605618333333323,-7.1364627,0.2796866666666666,0.054618355,7.82820833333333,7.9971676,1.0039087840888308,768
CP(C)c1ccco1,-7.584705333333327,-7.8088646,0.2759000000000002,0.8472716,8.102486999999998,7.619362,1.003810029646493,769
CP(C)C1CCCNC1,-7.592519999999991,-7.2892866,0.331867333333333,0.8292038,7.8025779999999845,7.5066032,1.0037259238435734,770
COBOC.FC(F)C(F)(F)F,-7.914325666666659,-7.6058173,0.2528000000000006,0.583449,8.009491333333319,8.02071,1.003456168175378,771
C1CCSC1.C[PH](C)=O,-7.650440999999977,-7.1661553,0.2770906666666667,0.16671394,7.929776333333329,7.866679,1.0033723449589922,772
C1CCOC1.CP(C)C,-7.618593333333314,-7.2078075,0.12576333333333323,0.12122578,7.929591666666649,8.021235,1.0032536626607973,773
CCOP(=O)(OCC)c1cscn1,-7.701163999999998,-7.4150815,0.20234333333333354,0.58490515,7.861356333333337,7.9005365,1.0030290210825616,774
COB(OC)c1ccccn1,-7.916628142857129,-8.083537,0.11041733333333327,0.47928268,8.06990133333331,8.502824,1.0029752474824702,775
C1CCC1.OBO,-7.853902333333328,-7.784982,0.14812666666666657,0.16576174,8.088816666666663,8.419717,1.0029572805244769,776
CCOBOCC.COS(=O)(=O)OC,-7.825209999999979,-8.225242,0.2326790000000004,0.18778321,8.213731666666662,8.52221,1.002689940123974,777
O=S1(=O)OCCCO1.OB(O)O,-7.900576666666664,-7.966798,0.20656166666666687,-0.14151433,8.219931333333347,8.641914,1.0020200662353234,778
CCOC.CP(C)C,-7.764839999999981,-7.6054745,0.25603666666666675,0.26337695,8.107919999999995,8.039759,1.0019006083259598,779
CC(=O)CC(=O)OCP(=O)(F)F,-7.711263999999985,-7.619247,0.32886933333333296,-0.042746294,8.042985666666654,8.248823,1.0017035784156278,780
CCO[PH](=O)OCC.O=C1OCCO1,-7.567942999999985,-7.0549574,-0.07595666666666666,0.26250455,7.701993666666657,8.132263,1.0013984937525118,781
O=P(O)(O)OP(=O)(O)O.c1ccccc1,-7.75200199999998,-8.106803,0.4241166666666663,0.048903804,8.253951785714289,8.291408,1.0012042037572337,782
FC(F)C(F)(F)F.O[PH](O)=S,-7.918129333333325,-8.116722,0.6359883333333315,0.5811244,8.153749999999992,7.9649534,1.0010798822093956,783
B1OBO1.c1cnccn1,-7.853940999999987,-7.7655864,0.12045133333333338,0.43152252,7.667698999999976,8.635236,1.0004539286185241,784
BC.COP(=O)(OC)OC,-7.5409793333333095,-7.369503,-0.11663166666666724,0.2997073,7.508591333333314,8.538355,1.0002782322386428,785
CCO[PH](=O)OCC.O=C1CCCN1,-7.495701333333328,-6.807202,0.16725400000000024,-0.103900515,7.384964333333322,8.295057,1.0000718694855122,786
O=P(Cl)(Cl)c1ccco1,-7.583100000000005,-7.240518,0.20740166666666648,0.8054841,7.878612999999997,7.4791136,0.9999354692045204,787
CCOP(=O)(OCC)C(C)OC(=O)OC(C)C,-7.702146666666657,-7.583452,0.2365926666666674,0.082813345,7.998408333333309,8.225453,0.9998434100453264,788
